AÑO,ARTICULO,GRAMOS POR PERSONAS,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2017,Verduras 4_ /,127,0.16,0.16,0.15,0.16,0.17,0.19,0.22,0.19,0.18,0.19,0.2,0.19
2017,Azúcar,69,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2018,Pan Francés,49,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12
2018,Tortillas,223,0.18,0.18,0.19,0.19,0.18,0.19,0.19,0.21,0.21,0.21,0.21,0.21
2018,Arroz,55,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08
2018,Carnes 1_ /,60,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
2018,Grasas 2 _ /,33,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2018,Huevos,28,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2018,Leche Fluida *,106,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.1
2018,Frutas 3_ /,157,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13
2018,Frijoles,79,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14
2018,Verduras 4_ /,127,0.18,0.16,0.15,0.16,0.16,0.18,0.17,0.17,0.17,0.17,0.18,0.17
2018,Azúcar,69,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2019,Pan Francés,49,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12
2019,Tortillas,223,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19
2019,Arroz,55,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2019,Carnes 1_ /,60,0.45,0.44,0.44,0.44,0.44,0.45,0.44,0.44,0.45,0.45,0.45,0.45
2019,Grasas 2 _ /,33,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2019,Huevos,28,0.08,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09
2019,Leche Fluida *,106,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
2019,Frutas 3_ /,157,0.13,0.13,0.14,0.15,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13
2019,Frijoles,79,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.15,0.15,0.14
2019,Verduras 4_ /,127,0.19,0.19,0.18,0.19,0.19,0.21,0.2,0.18,0.17,0.17,0.18,0.19
2019,Azúcar,69,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
